구역,평형,계산단위,유닛폴리곤수,원본유닛타입,평균조망각,최소조망각,최대조망각,특A급_100도이상_pct,A급_81_99도_pct,A급이상소계_pct,B급_61_80도_pct,B급이상소계_pct,C급_41_60도_pct,D급_21_40도_pct,E급_20도이하_pct,B급미만_pct
2구역,25,328,10,25,5.81,0,30,0,0,0,0,0,0,11.59,88.41,100
2구역,32,255,6,32,2.49,0,16,0,0,0,0,0,0,0,100,100
2구역,37,64,1,37,0,0,0,0,0,0,0,0,0,0,100,100
2구역,41,440,14,41,29.83,0,100,4.32,4.32,8.64,4.55,13.18,16.36,22.5,47.95,86.82
2구역,"45,46",814,10,"45,46",21.08,0,123,3.93,0,3.93,5.65,9.58,6.14,9.58,74.69,90.42
2구역,"51,52",704,9,"51,52",24.95,0,84,0,1.42,1.42,6.82,8.24,11.08,36.93,43.75,91.76
2구역,"55,56",338,5,"55,56",27.15,2,75,0,0,0,11.24,11.24,0,42.6,46.15,88.76
2구역,60,252,5,60,33.83,1,77,0,0,0,13.1,13.1,28.97,25,32.94,86.9
2구역,65,112,2,65,48.63,23,122,13.39,0.89,14.29,0,14.29,51.79,33.93,0,85.71
2구역,70,44,1,70,36.86,26,45,0,0,0,0,0,56.82,43.18,0,100
2구역,79,128,2,79,31.44,15,80,0,0,0,12.5,12.5,3.13,69.53,14.84,87.5
2구역,87,128,2,87,26.72,13,64,0,0,0,0.78,0.78,24.22,37.5,37.5,99.22
3구역,27,1064,24,27,11.6,0,64,0,0,0,0.09,0.09,0.85,17.2,81.86,99.91
3구역,38,242,5,38,23.62,7,60,0,0,0,0,0,4.13,61.57,34.3,100
3구역,42,195,4,42,26.62,12,77,0,0,0,1.54,1.54,8.21,61.03,29.23,98.46
3구역,50,336,7,50,37.08,12,84,0,0.89,0.89,17.56,18.45,16.07,42.26,23.21,81.55
3구역,58,599,15,58,59.21,8,144,22.87,10.85,33.72,9.18,42.9,7.35,28.55,21.2,57.1
3구역,67,1108,24,67,32.34,0,138,6.32,0.54,6.86,5.14,12,17.51,27.53,42.96,88
3구역,71,1402,34,71,40.94,1,130,5.28,9.7,14.98,10.27,25.25,12.55,25.75,36.45,74.75
3구역,82,268,8,82,36.69,0,156,21.27,7.09,28.36,0,28.36,0,1.49,70.15,71.64
3구역,91,126,4,91,83.13,40,112,34.92,15.08,50,19.84,69.84,15.08,15.08,0,30.16
3구역,103,82,3,103,93.76,54,142,46.34,0,46.34,30.49,76.83,23.17,0,0,23.17
4구역,25,258,6,25,17.37,0,68,0,0,0,0.78,0.78,7.75,23.26,68.22,99.22
4구역,34,64,2,34,2.75,1,6,0,0,0,0,0,0,0,100,100
4구역,40,467,12,40,18.01,0,104,4.28,0,4.28,0,4.28,4.71,28.27,62.74,95.72
4구역,43,181,4,43,27.73,2,79,0,0,0,9.94,9.94,18.78,14.92,56.35,90.06
4구역,47A,54,3,47A,63.3,0,108,37.04,0,37.04,31.48,68.52,0,0,31.48,31.48
4구역,47B,224,6,47B,33.72,1,109,7.59,0,7.59,8.04,15.63,22.77,12.05,49.55,84.38
4구역,52,32,1,52,14.38,11,20,0,0,0,0,0,0,0,100,100
4구역,60,145,3,60,44.33,5,105,14.48,18.62,33.1,1.38,34.48,12.41,0,53.1,65.52
4구역,63,64,2,63,3.63,1,9,0,0,0,0,0,0,0,100,100
4구역,67,143,3,67,33.48,5,95,0,17.48,17.48,0,17.48,4.9,32.17,45.45,82.52
4구역,72,32,1,72,9,9,9,0,0,0,0,0,0,0,100,100
4구역,77,32,1,77,18.38,18,19,0,0,0,0,0,0,0,100,100
5구역,25,341,10,25,13.97,0,110,5.28,0,5.28,0,5.28,0,14.96,79.77,94.72
5구역,31,357,9,31,21.22,2,99,0,5.6,5.6,0,5.6,8.12,19.33,66.95,94.4
5구역,35,295,7,35,34.39,5,126,6.1,6.78,12.88,15.59,28.47,0,10.17,61.36,71.53
5구역,41,191,5,41,30.77,0,71,0,0,0,23.56,23.56,6.28,26.7,43.46,76.44
5구역,51,166,3,51,9.46,0,31,0,0,0,0,0,0,18.07,81.93,100
5구역,61,155,3,61,54.72,13,103,1.94,21.94,23.87,19.35,43.23,0.65,43.23,12.9,56.77
5구역,71,19,1,71,108.11,108,110,100,0,100,0,100,0,0,0,0
